latitude,longitude,parameter,sample_duration,pollutant_standard,date_local,units_of_measure,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method,site_address,county,city,cbsa,date_of_last_change,location
39.021,-122.282,PM2.5 - Local Conditions,1 HOUR,,2020-09-01,Micrograms/cubic meter (LC),23,100.0,38.739,90.0,1,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,1 HOUR,,2020-09-01,Micrograms/cubic meter (LC),24,100.0,41.167,97.0,0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,1 HOUR,,2020-09-01,Micrograms/cubic meter (LC),24,100.0,41.167,97.0,0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2006,2020-09-01,Micrograms/cubic meter (LC),1,100.0,38.7,38.7,0,115.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2006,2020-09-01,Micrograms/cubic meter (LC),1,100.0,38.7,38.7,0,115.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2020-09-01,Micrograms/cubic meter (LC),1,100.0,38.7,38.7,0,115.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,2020-09-01,Micrograms/cubic meter (LC),1,100.0,38.7,38.7,0,115.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2006,2020-09-01,Micrograms/cubic meter (LC),1,100.0,41.1,41.1,0,115.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2006,2020-09-01,Micrograms/cubic meter (LC),1,100.0,41.1,41.1,0,115.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2020-09-01,Micrograms/cubic meter (LC),1,100.0,41.1,41.1,0,115.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,2020-09-01,Micrograms/cubic meter (LC),1,100.0,41.1,41.1,0,115.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2006,2020-09-01,Micrograms/cubic meter (LC),1,100.0,38.7,38.7,0,115.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2006,2020-09-01,Micrograms/cubic meter (LC),1,100.0,38.7,38.7,0,115.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2020-09-01,Micrograms/cubic meter (LC),1,100.0,38.7,38.7,0,115.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,2020-09-01,Micrograms/cubic meter (LC),1,100.0,38.7,38.7,0,115.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,1 HOUR,,2020-09-02,Micrograms/cubic meter (LC),23,100.0,24.174,46.0,12,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,1 HOUR,,2020-09-02,Micrograms/cubic meter (LC),24,100.0,25.458,55.0,0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,1 HOUR,,2020-09-02,Micrograms/cubic meter (LC),24,100.0,25.458,55.0,0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2006,2020-09-02,Micrograms/cubic meter (LC),1,100.0,24.1,24.1,0,79.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2006,2020-09-02,Micrograms/cubic meter (LC),1,100.0,24.1,24.1,0,79.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2020-09-02,Micrograms/cubic meter (LC),1,100.0,24.1,24.1,0,79.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,2020-09-02,Micrograms/cubic meter (LC),1,100.0,24.1,24.1,0,79.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2006,2020-09-02,Micrograms/cubic meter (LC),1,100.0,25.4,25.4,0,79.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2006,2020-09-02,Micrograms/cubic meter (LC),1,100.0,25.4,25.4,0,79.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2020-09-02,Micrograms/cubic meter (LC),1,100.0,25.4,25.4,0,79.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,2020-09-02,Micrograms/cubic meter (LC),1,100.0,25.4,25.4,0,79.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2006,2020-09-02,Micrograms/cubic meter (LC),1,100.0,24.1,24.1,0,79.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2006,2020-09-02,Micrograms/cubic meter (LC),1,100.0,24.1,24.1,0,79.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2020-09-02,Micrograms/cubic meter (LC),1,100.0,24.1,24.1,0,79.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,2020-09-02,Micrograms/cubic meter (LC),1,100.0,24.1,24.1,0,79.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,1 HOUR,,2020-09-03,Micrograms/cubic meter (LC),23,100.0,31.739,72.0,12,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,1 HOUR,,2020-09-03,Micrograms/cubic meter (LC),24,100.0,31.208,72.0,12,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,1 HOUR,,2020-09-03,Micrograms/cubic meter (LC),24,100.0,31.208,72.0,12,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2006,2020-09-03,Micrograms/cubic meter (LC),1,100.0,31.7,31.7,0,91.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2006,2020-09-03,Micrograms/cubic meter (LC),1,100.0,31.7,31.7,0,91.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
39.021,-122.282,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2020-09-03,Micrograms/cubic meter (LC),1,100.0,31.7,31.7,0,91.0,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",Colusa,Cortina Indian Rancheria,,2020-09-16,"(39.021, -122.282)"
